# train_mtempmech__19.90	t_train_mtempmech_	stim_train_mtempmech_
-2.912047820836182391e-21	9.999999999999999547e-07	1.000000000000000000e+00
-2.722563472687539744e-21	2.100000000000000223e-05	1.000000000000000000e+00
-3.338221288372717145e-21	4.100000000000000047e-05	1.000000000000000000e+00
-4.184782055871636333e-21	6.100000000000000550e-05	1.000000000000000000e+00
-5.055087275746480015e-21	8.100000000000000375e-05	1.000000000000000000e+00
-5.886988687175439858e-21	1.010000000000000020e-04	1.000000000000000000e+00
-6.718890098604399701e-21	1.210000000000000138e-04	1.000000000000000000e+00
-7.362599190193522090e-21	1.410000000000000120e-04	1.000000000000000000e+00
-8.004859749361195573e-21	1.610000000000000103e-04	1.000000000000000000e+00
-8.647120308528869056e-21	1.810000000000000085e-04	1.000000000000000000e+00
-9.227558758478882821e-21	2.010000000000000068e-04	1.000000000000000000e+00
-9.635014149662472658e-21	2.210000000000000050e-04	1.000000000000000000e+00
-1.004246954084606550e-20	2.410000000000000304e-04	1.000000000000000000e+00
-1.044992493202965685e-20	2.610000000000000557e-04	1.000000000000000000e+00
-1.085738032321324819e-20	2.810000000000000540e-04	1.000000000000000000e+00
-1.126483571439683802e-20	3.010000000000000522e-04	1.000000000000000000e+00
-1.162176251339804360e-20	3.210000000000000505e-04	1.000000000000000000e+00
-1.181745715537836404e-20	3.410000000000000487e-04	1.000000000000000000e+00
-1.201315179735868448e-20	3.610000000000000470e-04	1.000000000000000000e+00
-1.220884643933900492e-20	3.810000000000000452e-04	1.000000000000000000e+00
-1.240454108131932536e-20	4.010000000000000435e-04	1.000000000000000000e+00
-1.260023572329964581e-20	4.210000000000000417e-04	1.000000000000000000e+00
-1.279593036527996474e-20	4.410000000000000400e-04	1.000000000000000000e+00
-1.299162500726028518e-20	4.610000000000000382e-04	1.000000000000000000e+00
-1.318731964924060713e-20	4.810000000000000907e-04	1.000000000000000000e+00
-1.338301429122092607e-20	5.010000000000000347e-04	1.000000000000000000e+00
-1.351031769382722126e-20	5.210000000000000872e-04	1.000000000000000000e+00
-1.357062465545693935e-20	5.410000000000000312e-04	1.000000000000000000e+00
-1.363093161708666045e-20	5.610000000000000837e-04	1.000000000000000000e+00
-1.369123857871637854e-20	5.810000000000000277e-04	1.000000000000000000e+00
-1.375154554034609964e-20	6.010000000000000802e-04	1.000000000000000000e+00
-1.381185250197581773e-20	6.210000000000000242e-04	1.000000000000000000e+00
-1.387215946360553582e-20	6.410000000000000767e-04	1.000000000000000000e+00
-1.393246642523525692e-20	6.610000000000001291e-04	1.000000000000000000e+00
-1.399277338686497501e-20	6.810000000000000732e-04	1.000000000000000000e+00
-1.405308034849469610e-20	7.010000000000001256e-04	1.000000000000000000e+00
-1.411338731012441419e-20	7.210000000000000697e-04	1.000000000000000000e+00
-1.417369427175413228e-20	7.410000000000001221e-04	1.000000000000000000e+00
-1.423400123338385338e-20	7.610000000000000661e-04	1.000000000000000000e+00
-1.429430819501357147e-20	7.810000000000001186e-04	1.000000000000000000e+00
-1.435461515664328956e-20	8.010000000000000626e-04	1.000000000000000000e+00
-1.441492211827301066e-20	8.210000000000001151e-04	1.000000000000000000e+00
-1.443469437165841761e-20	8.410000000000000591e-04	1.000000000000000000e+00
-1.444301981268031335e-20	8.610000000000001116e-04	1.000000000000000000e+00
-1.445134525370220910e-20	8.810000000000000556e-04	1.000000000000000000e+00
-1.445967069472410484e-20	9.010000000000001081e-04	1.000000000000000000e+00
-1.446799613574600058e-20	9.210000000000000521e-04	1.000000000000000000e+00
-1.447632157676789933e-20	9.410000000000001046e-04	1.000000000000000000e+00
-1.448464701778979508e-20	9.610000000000001570e-04	1.000000000000000000e+00
-1.449297245881169082e-20	9.810000000000001011e-04	1.000000000000000000e+00
-1.450129789983358656e-20	1.000999999999999937e-03	1.000000000000000000e+00
-1.450962334085548231e-20	1.020999999999999989e-03	1.000000000000000000e+00
-1.451794878187737805e-20	1.041000000000000042e-03	1.000000000000000000e+00
-1.452627422289927680e-20	1.061000000000000094e-03	1.000000000000000000e+00
-1.453459966392117254e-20	1.080999999999999930e-03	1.000000000000000000e+00
-1.454292510494306829e-20	1.100999999999999982e-03	1.000000000000000000e+00
-1.455125054596496403e-20	1.121000000000000035e-03	1.000000000000000000e+00
-1.455957598698685977e-20	1.141000000000000087e-03	1.000000000000000000e+00
-1.456790142800875551e-20	1.160999999999999923e-03	1.000000000000000000e+00
-1.457622686903065427e-20	1.180999999999999975e-03	1.000000000000000000e+00
-1.458455231005255001e-20	1.201000000000000028e-03	1.000000000000000000e+00
-1.459287775107444575e-20	1.221000000000000080e-03	1.000000000000000000e+00
-1.460120319209634149e-20	1.240999999999999916e-03	1.000000000000000000e+00
-1.460952863311823724e-20	1.260999999999999968e-03	1.000000000000000000e+00
-1.461785407414013599e-20	1.281000000000000021e-03	1.000000000000000000e+00
-1.462617951516203173e-20	1.301000000000000073e-03	1.000000000000000000e+00
-1.463450495618392747e-20	1.321000000000000126e-03	1.000000000000000000e+00
-1.463932358335662239e-20	1.340999999999999961e-03	1.000000000000000000e+00
-1.463827072113707698e-20	1.361000000000000014e-03	1.000000000000000000e+00
-1.463721785891753459e-20	1.381000000000000066e-03	1.000000000000000000e+00
-1.463616499669798918e-20	1.401000000000000119e-03	1.000000000000000000e+00
-1.463511213447844678e-20	1.420999999999999954e-03	1.000000000000000000e+00
-1.463405927225890137e-20	1.441000000000000007e-03	1.000000000000000000e+00
-1.463300641003935897e-20	1.461000000000000059e-03	1.000000000000000000e+00
-1.463195354781981357e-20	1.481000000000000111e-03	1.000000000000000000e+00
-1.463090068560027117e-20	1.500999999999999947e-03	1.000000000000000000e+00
-1.462984782338072576e-20	1.521000000000000000e-03	1.000000000000000000e+00
-1.462879496116118336e-20	1.541000000000000052e-03	1.000000000000000000e+00
-1.462774209894163796e-20	1.561000000000000104e-03	1.000000000000000000e+00
-1.462668923672209556e-20	1.580999999999999940e-03	1.000000000000000000e+00
-1.462563637450255015e-20	1.600999999999999993e-03	1.000000000000000000e+00
-1.462458351228300474e-20	1.621000000000000045e-03	1.000000000000000000e+00
-1.462353065006346234e-20	1.641000000000000097e-03	1.000000000000000000e+00
-1.462247778784391694e-20	1.661000000000000150e-03	1.000000000000000000e+00
-1.462142492562437454e-20	1.680999999999999986e-03	1.000000000000000000e+00
-1.462037206340482913e-20	1.701000000000000038e-03	1.000000000000000000e+00
-1.461931920118528673e-20	1.721000000000000090e-03	1.000000000000000000e+00
-1.461826633896574133e-20	1.741000000000000143e-03	1.000000000000000000e+00
-1.461721347674619893e-20	1.760999999999999979e-03	1.000000000000000000e+00
-1.461616061452665352e-20	1.781000000000000031e-03	1.000000000000000000e+00
-1.461510775230711112e-20	1.801000000000000083e-03	1.000000000000000000e+00
-1.461405489008756571e-20	1.821000000000000136e-03	1.000000000000000000e+00
-1.461300202786802332e-20	1.840999999999999972e-03	1.000000000000000000e+00
-1.461194916564847791e-20	1.861000000000000024e-03	1.000000000000000000e+00
-1.461089630342893250e-20	1.881000000000000076e-03	1.000000000000000000e+00
-1.460984344120939010e-20	1.901000000000000129e-03	1.000000000000000000e+00
-1.460879057898984470e-20	1.921000000000000181e-03	1.000000000000000000e+00
-1.460773771677030230e-20	1.941000000000000017e-03	1.000000000000000000e+00
-1.460668485455075689e-20	1.961000000000000503e-03	1.000000000000000000e+00
-1.460563199233121449e-20	1.981000000000000122e-03	1.000000000000000000e+00
-1.460457913011166908e-20	2.001000000000000174e-03	1.000000000000000000e+00
-1.460352626789212669e-20	2.021000000000000227e-03	1.000000000000000000e+00
-1.460247340567258128e-20	2.041000000000000279e-03	1.000000000000000000e+00
-1.460142054345303888e-20	2.061000000000000332e-03	1.000000000000000000e+00
-1.460036768123349347e-20	2.081000000000000384e-03	1.000000000000000000e+00
-1.459931481901395108e-20	2.101000000000000437e-03	1.000000000000000000e+00
-1.459826195679440567e-20	2.121000000000000489e-03	1.000000000000000000e+00
-1.459720909457486327e-20	2.141000000000000108e-03	1.000000000000000000e+00
-1.459598724442837960e-20	2.161000000000000160e-03	1.000000000000000000e+00
-1.459441959180972893e-20	2.181000000000000213e-03	1.000000000000000000e+00
-1.459285193919107826e-20	2.201000000000000265e-03	1.000000000000000000e+00
-1.459128428657242459e-20	2.221000000000000318e-03	1.000000000000000000e+00
-1.458971663395377392e-20	2.241000000000000370e-03	1.000000000000000000e+00
-1.458814898133512326e-20	2.261000000000000423e-03	1.000000000000000000e+00
-1.458658132871647259e-20	2.281000000000000475e-03	1.000000000000000000e+00
-1.458501367609781891e-20	2.301000000000000528e-03	1.000000000000000000e+00
-1.458344602347916825e-20	2.321000000000000146e-03	1.000000000000000000e+00
-1.458187837086051758e-20	2.341000000000000199e-03	1.000000000000000000e+00
-1.458031071824186692e-20	2.361000000000000251e-03	1.000000000000000000e+00
-1.457874306562321324e-20	2.381000000000000304e-03	1.000000000000000000e+00
-1.457717541300456257e-20	2.401000000000000356e-03	1.000000000000000000e+00
-1.457560776038591191e-20	2.421000000000000409e-03	1.000000000000000000e+00
-1.457404010776725823e-20	2.441000000000000461e-03	1.000000000000000000e+00
-1.457247245514860757e-20	2.461000000000000514e-03	1.000000000000000000e+00
-1.457090480252995690e-20	2.481000000000000132e-03	1.000000000000000000e+00
-1.456933714991130623e-20	2.501000000000000185e-03	1.000000000000000000e+00
-1.456776949729265256e-20	2.521000000000000237e-03	1.000000000000000000e+00
-1.456620184467400189e-20	2.541000000000000290e-03	1.000000000000000000e+00
-1.456463419205535123e-20	2.561000000000000342e-03	1.000000000000000000e+00
-1.456306653943670056e-20	2.581000000000000395e-03	1.000000000000000000e+00
-1.456149888681804688e-20	2.601000000000000447e-03	1.000000000000000000e+00
-1.455993123419939622e-20	2.621000000000000500e-03	1.000000000000000000e+00
-1.455836358158074555e-20	2.641000000000000552e-03	1.000000000000000000e+00
-1.455679592896209489e-20	2.661000000000000171e-03	1.000000000000000000e+00
-1.455522827634344121e-20	2.681000000000000223e-03	1.000000000000000000e+00
-1.455366062372479054e-20	2.701000000000000276e-03	1.000000000000000000e+00
-1.455209297110613988e-20	2.721000000000000328e-03	1.000000000000000000e+00
-1.455052531848748620e-20	2.741000000000000381e-03	1.000000000000000000e+00
-1.454895766586883554e-20	2.761000000000000433e-03	1.000000000000000000e+00
-1.454739001325018487e-20	2.781000000000000486e-03	1.000000000000000000e+00
-1.454582236063153420e-20	2.801000000000000538e-03	1.000000000000000000e+00
-1.454425470801288053e-20	2.821000000000000157e-03	1.000000000000000000e+00
-1.454268705539422986e-20	2.841000000000000209e-03	1.000000000000000000e+00
-1.454111940277557920e-20	2.861000000000000262e-03	1.000000000000000000e+00
-1.453955175015692853e-20	2.881000000000000314e-03	1.000000000000000000e+00
-1.453798409753827486e-20	2.901000000000000367e-03	1.000000000000000000e+00
-1.453641644491962419e-20	2.921000000000000419e-03	1.000000000000000000e+00
-1.453484879230097352e-20	2.941000000000000471e-03	1.000000000000000000e+00
-1.453328113968231985e-20	2.961000000000000524e-03	1.000000000000000000e+00
-1.453171348706366918e-20	2.981000000000000576e-03	1.000000000000000000e+00
-1.453014583444501852e-20	3.001000000000000195e-03	1.000000000000000000e+00
-1.452857818182636785e-20	3.021000000000000248e-03	1.000000000000000000e+00
-1.452701052920771417e-20	3.041000000000000300e-03	1.000000000000000000e+00
-1.452544287658906351e-20	3.061000000000000353e-03	1.000000000000000000e+00
-1.452387522397041284e-20	3.081000000000000405e-03	1.000000000000000000e+00
-1.452230757135176218e-20	3.101000000000000457e-03	1.000000000000000000e+00
-1.452073991873310850e-20	3.121000000000000510e-03	1.000000000000000000e+00
-1.451917226611445783e-20	3.141000000000000562e-03	1.000000000000000000e+00
-1.451760461349580717e-20	3.161000000000000181e-03	1.000000000000000000e+00
-1.451603696087715349e-20	3.181000000000000234e-03	1.000000000000000000e+00
-1.451446930825850283e-20	3.201000000000000286e-03	1.000000000000000000e+00
-1.451290165563985216e-20	3.221000000000000339e-03	1.000000000000000000e+00
-1.451133400302120149e-20	3.241000000000000391e-03	1.000000000000000000e+00
-1.450976635040254782e-20	3.261000000000000443e-03	1.000000000000000000e+00
-1.450819869778389715e-20	3.281000000000000496e-03	1.000000000000000000e+00
-1.450663104516524649e-20	3.301000000000000548e-03	1.000000000000000000e+00
-1.450506339254659582e-20	3.321000000000000601e-03	1.000000000000000000e+00
-1.450349573992794214e-20	3.341000000000000220e-03	1.000000000000000000e+00
-1.450192808730929148e-20	3.361000000000000272e-03	1.000000000000000000e+00
-1.450036043469064081e-20	3.381000000000000325e-03	1.000000000000000000e+00
-1.449879278207199015e-20	3.401000000000000377e-03	1.000000000000000000e+00
-1.449722512945333647e-20	3.421000000000000429e-03	1.000000000000000000e+00
-1.449565747683468580e-20	3.441000000000000482e-03	1.000000000000000000e+00
-1.449408982421603514e-20	3.461000000000000534e-03	1.000000000000000000e+00
-1.449252307149366095e-20	3.481000000000000587e-03	1.000000000000000000e+00
-1.449101552986363630e-20	3.501000000000000206e-03	1.000000000000000000e+00
-1.448950798823361164e-20	3.521000000000000258e-03	1.000000000000000000e+00
-1.448800044660358698e-20	3.541000000000000311e-03	1.000000000000000000e+00
-1.448649290497356232e-20	3.561000000000000363e-03	1.000000000000000000e+00
-1.448498536334353767e-20	3.581000000000000415e-03	1.000000000000000000e+00
-1.448347782171351301e-20	3.601000000000000468e-03	1.000000000000000000e+00
-1.448197028008348835e-20	3.621000000000000520e-03	1.000000000000000000e+00
-1.448046273845346370e-20	3.641000000000000573e-03	1.000000000000000000e+00
-1.447895519682343904e-20	3.661000000000000625e-03	1.000000000000000000e+00
-1.447744765519341438e-20	3.681000000000000244e-03	1.000000000000000000e+00
-1.447594011356338973e-20	3.701000000000000296e-03	1.000000000000000000e+00
-1.447443257193336507e-20	3.721000000000000349e-03	1.000000000000000000e+00
-1.447292503030334041e-20	3.741000000000000401e-03	1.000000000000000000e+00
-1.447141748867331575e-20	3.761000000000000454e-03	1.000000000000000000e+00
-1.446990994704328809e-20	3.781000000000000506e-03	1.000000000000000000e+00
-1.446840240541326343e-20	3.801000000000000559e-03	1.000000000000000000e+00
-1.446689486378323877e-20	3.821000000000000611e-03	1.000000000000000000e+00
-1.446538732215321412e-20	3.841000000000000664e-03	1.000000000000000000e+00
-1.446387978052318946e-20	3.861000000000000282e-03	1.000000000000000000e+00
-1.446237223889316480e-20	3.881000000000000335e-03	1.000000000000000000e+00
-1.446086469726314015e-20	3.901000000000000387e-03	1.000000000000000000e+00
-1.445935715563311549e-20	3.921000000000000874e-03	1.000000000000000000e+00
-1.445784961400309083e-20	3.941000000000000059e-03	1.000000000000000000e+00
-1.445634207237306617e-20	3.961000000000000111e-03	1.000000000000000000e+00
-1.445483453074304152e-20	3.981000000000000164e-03	1.000000000000000000e+00
-1.445332698911301686e-20	4.001000000000000216e-03	1.000000000000000000e+00
-1.445181944748299220e-20	4.021000000000000268e-03	1.000000000000000000e+00
-1.445031190585296755e-20	4.041000000000000321e-03	1.000000000000000000e+00
-1.444880436422294289e-20	4.061000000000000373e-03	1.000000000000000000e+00
-1.444729682259291823e-20	4.081000000000000426e-03	1.000000000000000000e+00
-1.444578928096289358e-20	4.101000000000000478e-03	1.000000000000000000e+00
-1.444428173933286892e-20	4.121000000000000531e-03	1.000000000000000000e+00
-1.444277419770284426e-20	4.141000000000000583e-03	1.000000000000000000e+00
-1.444126665607281960e-20	4.161000000000000636e-03	1.000000000000000000e+00
-1.443975911444279495e-20	4.181000000000000688e-03	1.000000000000000000e+00
-1.443825157281276728e-20	4.201000000000000741e-03	1.000000000000000000e+00
-1.443674403118274262e-20	4.221000000000000793e-03	1.000000000000000000e+00
-1.443523648955271797e-20	4.241000000000000845e-03	1.000000000000000000e+00
-1.443372894792269331e-20	4.261000000000000898e-03	1.000000000000000000e+00
-1.443222140629266865e-20	4.281000000000000083e-03	1.000000000000000000e+00
-1.443071386466264400e-20	4.301000000000000136e-03	1.000000000000000000e+00
-1.442920632303261934e-20	4.321000000000000188e-03	1.000000000000000000e+00
-1.442769878140259468e-20	4.341000000000000240e-03	1.000000000000000000e+00
-1.442619123977257003e-20	4.361000000000000293e-03	1.000000000000000000e+00
-1.442468369814254537e-20	4.381000000000000345e-03	1.000000000000000000e+00
-1.442317615651252071e-20	4.401000000000000398e-03	1.000000000000000000e+00
-1.442166861488249605e-20	4.421000000000000450e-03	1.000000000000000000e+00
-1.442016107325247140e-20	4.441000000000000503e-03	1.000000000000000000e+00
-1.441865353162244674e-20	4.461000000000000555e-03	1.000000000000000000e+00
-1.441714598999242208e-20	4.481000000000000608e-03	1.000000000000000000e+00
-1.441563844836239743e-20	4.501000000000000660e-03	1.000000000000000000e+00
-1.441413090673237277e-20	4.521000000000000713e-03	1.000000000000000000e+00
-1.441262336510234811e-20	4.541000000000000765e-03	1.000000000000000000e+00
-1.441111582347232345e-20	4.561000000000000817e-03	1.000000000000000000e+00
-1.440960828184229880e-20	4.581000000000000870e-03	1.000000000000000000e+00
-1.440810074021227113e-20	4.601000000000000922e-03	1.000000000000000000e+00
-1.440659319858224647e-20	4.621000000000000107e-03	1.000000000000000000e+00
-1.440508565695222182e-20	4.641000000000000160e-03	1.000000000000000000e+00
-1.440357811532219716e-20	4.661000000000000212e-03	1.000000000000000000e+00
-1.440207057369217250e-20	4.681000000000000265e-03	1.000000000000000000e+00
-1.440056303206214785e-20	4.701000000000000317e-03	1.000000000000000000e+00
-1.439905549043212319e-20	4.721000000000000370e-03	1.000000000000000000e+00
-1.439754794880209853e-20	4.741000000000000422e-03	1.000000000000000000e+00
-1.439604040717207388e-20	4.761000000000000475e-03	1.000000000000000000e+00
-1.439453286554204922e-20	4.781000000000000527e-03	1.000000000000000000e+00
-1.439302532391202456e-20	4.801000000000000580e-03	1.000000000000000000e+00
-1.439151778228199990e-20	4.821000000000000632e-03	1.000000000000000000e+00
-1.439001024065197525e-20	4.841000000000000685e-03	1.000000000000000000e+00
-1.438850269902195059e-20	4.861000000000000737e-03	1.000000000000000000e+00
-1.438699515739192593e-20	4.881000000000000789e-03	1.000000000000000000e+00
-1.438548761576190128e-20	4.901000000000000842e-03	1.000000000000000000e+00
-1.438398007413187662e-20	4.921000000000000894e-03	1.000000000000000000e+00
-1.438247253250185196e-20	4.941000000000000947e-03	1.000000000000000000e+00
-1.438096499087182731e-20	4.961000000000000132e-03	1.000000000000000000e+00
-1.437945744924180265e-20	4.981000000000000184e-03	1.000000000000000000e+00
-1.437794990761177799e-20	5.001000000000000237e-03	1.000000000000000000e+00
-1.437644236598175333e-20	5.021000000000000289e-03	1.000000000000000000e+00
-1.437493482435172567e-20	5.041000000000000342e-03	1.000000000000000000e+00
-1.437342728272170101e-20	5.061000000000000394e-03	1.000000000000000000e+00
-1.437191974109167635e-20	5.081000000000000447e-03	1.000000000000000000e+00
-1.437041219946165170e-20	5.101000000000000499e-03	1.000000000000000000e+00
-1.436890465783162704e-20	5.121000000000000552e-03	1.000000000000000000e+00
-1.436739711620160238e-20	5.141000000000000604e-03	1.000000000000000000e+00
-1.436588957457157773e-20	5.161000000000000656e-03	1.000000000000000000e+00
-1.436438203294155307e-20	5.181000000000000709e-03	1.000000000000000000e+00
-1.436287449131152841e-20	5.201000000000000761e-03	1.000000000000000000e+00
-1.436136694968150375e-20	5.221000000000000814e-03	1.000000000000000000e+00
-1.435985940805147910e-20	5.241000000000000866e-03	1.000000000000000000e+00
-1.435835186642145444e-20	5.261000000000000919e-03	1.000000000000000000e+00
-1.435684432479142978e-20	5.281000000000000971e-03	1.000000000000000000e+00
-1.435533678316140513e-20	5.301000000000000156e-03	1.000000000000000000e+00
-1.435382924153138047e-20	5.321000000000000209e-03	1.000000000000000000e+00
-1.435232169990135581e-20	5.341000000000000261e-03	1.000000000000000000e+00
-1.435081415827133116e-20	5.361000000000000314e-03	1.000000000000000000e+00
-1.434930661664130650e-20	5.381000000000000366e-03	1.000000000000000000e+00
-1.434779907501128184e-20	5.401000000000000419e-03	1.000000000000000000e+00
-1.434629153338125718e-20	5.421000000000000471e-03	1.000000000000000000e+00
-1.434478399175122952e-20	5.441000000000000524e-03	1.000000000000000000e+00
-1.434327645012120486e-20	5.461000000000000576e-03	1.000000000000000000e+00
-1.434176890849118020e-20	5.481000000000000628e-03	1.000000000000000000e+00
-1.434026136686115555e-20	5.501000000000000681e-03	1.000000000000000000e+00
-1.433875382523113089e-20	5.521000000000000733e-03	1.000000000000000000e+00
-1.433724628360110623e-20	5.541000000000000786e-03	1.000000000000000000e+00
-1.433573874197108158e-20	5.561000000000000838e-03	1.000000000000000000e+00
-1.433423120034105692e-20	5.581000000000000891e-03	1.000000000000000000e+00
-1.433272365871103226e-20	5.601000000000000943e-03	1.000000000000000000e+00
-1.433121611708100761e-20	5.621000000000000996e-03	1.000000000000000000e+00
-1.432979505734624586e-20	5.641000000000000181e-03	1.000000000000000000e+00
-1.432838586464893895e-20	5.661000000000000233e-03	1.000000000000000000e+00
-1.432697667195163204e-20	5.681000000000000286e-03	1.000000000000000000e+00
-1.432556747925432514e-20	5.701000000000000338e-03	1.000000000000000000e+00
-1.432415828655701823e-20	5.721000000000000391e-03	1.000000000000000000e+00
-1.432274909385971132e-20	5.741000000000000443e-03	1.000000000000000000e+00
-1.432133990116240442e-20	5.761000000000000495e-03	1.000000000000000000e+00
-1.431993070846509751e-20	5.781000000000000548e-03	1.000000000000000000e+00
-1.431852151576779060e-20	5.801000000000000600e-03	1.000000000000000000e+00
-1.431711232307048369e-20	5.821000000000000653e-03	1.000000000000000000e+00
-1.431570313037317679e-20	5.841000000000000705e-03	1.000000000000000000e+00
-1.431429393767586988e-20	5.861000000000000758e-03	1.000000000000000000e+00
-1.431288474497856297e-20	5.881000000000000810e-03	1.000000000000000000e+00
-1.431147555228125606e-20	5.901000000000000863e-03	1.000000000000000000e+00
-1.431006635958394916e-20	5.921000000000000915e-03	1.000000000000000000e+00
-1.430865716688664225e-20	5.941000000000000968e-03	1.000000000000000000e+00
-1.430724797418933534e-20	5.961000000000001020e-03	1.000000000000000000e+00
-1.430583878149203144e-20	5.981000000000000205e-03	1.000000000000000000e+00
-1.430442958879472454e-20	6.001000000000000258e-03	1.000000000000000000e+00
-1.430302039609741763e-20	6.021000000000000310e-03	1.000000000000000000e+00
-1.430161120340011072e-20	6.041000000000000363e-03	1.000000000000000000e+00
-1.430020201070280382e-20	6.061000000000000415e-03	1.000000000000000000e+00
-1.429879281800549691e-20	6.081000000000000467e-03	1.000000000000000000e+00
-1.429738362530819000e-20	6.101000000000000520e-03	1.000000000000000000e+00
-1.429597443261088309e-20	6.121000000000000572e-03	1.000000000000000000e+00
-1.429456523991357619e-20	6.141000000000000625e-03	1.000000000000000000e+00
-1.429315604721626928e-20	6.161000000000000677e-03	1.000000000000000000e+00
-1.429174685451896237e-20	6.181000000000000730e-03	1.000000000000000000e+00
-1.429033766182165546e-20	6.201000000000000782e-03	1.000000000000000000e+00
-1.428892846912434856e-20	6.221000000000000835e-03	1.000000000000000000e+00
-1.428751927642704165e-20	6.241000000000000887e-03	1.000000000000000000e+00
-1.428611008372973474e-20	6.261000000000000940e-03	1.000000000000000000e+00
-1.428470089103242783e-20	6.281000000000000992e-03	1.000000000000000000e+00
-1.428329169833512093e-20	6.301000000000001044e-03	1.000000000000000000e+00
-1.428188250563781402e-20	6.321000000000000230e-03	1.000000000000000000e+00
-1.428047331294050711e-20	6.341000000000000282e-03	1.000000000000000000e+00
-1.427906412024320021e-20	6.361000000000000335e-03	1.000000000000000000e+00
-1.427765492754589330e-20	6.381000000000000387e-03	1.000000000000000000e+00
-1.427624573484858639e-20	6.401000000000000439e-03	1.000000000000000000e+00
